# Position c_coord[0]
-0.00951151 5
-0.00891652 6
-0.00768637 7
-0.0065169 5
-0.00593441 6
-0.00495028 5
-0.0039892 9
-0.000850755 4
-0.00893573 6
-0.00853949 7
-0.00794721 5
-0.00686177 8
-0.0069786 7
-0.0054268 7
-0.00430786 5
-0.00338798 7
-0.00243409 4
-0.00146125 5
-0.000902873 7
-0.000383778 7
-0.00954095 6
-0.00879738 6
-0.00796549 6
-0.0068976 6
-0.00667957 6
-0.00648369 6
-0.0057532 6
-0.00478898 5
-0.00381482 7
-0.00213535 5
-0.00271929 7
-0.00118653 6
-7.82465e-07 7
-0.000983806 8
-0.00951756 5
-0.00854955 6
-0.00751454 8
-0.00654431 6
-0.00561467 7
-0.00471101 7
-0.00372949 7
-0.00277902 7
-0.00200137 8
-0.00187683 6
-0.000946102 8
-0.000324298 6
-0.00945559 5
-0.00918591 4
-0.00809782 7
-0.00721293 6
-0.00592838 3
-0.00485092 5
-0.00320199 7
-0.00393338 1
-0.00223915 5
-0.00126459 6
-0.000293273 5
-0.00943811 1
-0.00874147 6
-0.0082407 7
-0.00772902 5
-0.00704217 7
-0.00644605 6
-0.00552629 7
-0.00472664 7
-0.00340324 8
-0.00243322 7
-0.00183602 6
-0.00135644 9
-0.000433259 6
-0.00951337 4
-0.0087714 5
-0.00873019 7
-0.00709729 7
-0.0078848 4
-0.00601524 4
-0.00657268 7
-0.00508762 7
-0.00421067 7
-0.00436347 9
-0.0027841 7
-0.00172041 5
-0.000582485 7
-0.00951547 5
-0.0080959 7
-0.00871182 6
-0.00704332 5
-0.00772603 6
-0.00676032 6
-0.00568326 5
-0.00468909 8
-0.00350101 8
-0.00208757 7
-0.00115944 5
-0.00137327 8
-0.000566815 6
-0.0095034 5
-0.00866881 7
-0.00726298 5
-0.00646107 7
-0.00563278 5
-0.00577693 8
-0.0048605 5
-0.00395798 6
-0.00394203 5
-0.00304519 4
-0.00217244 8
-0.00216498 7
-0.00145445 8
-0.000410081 5
-0.00951861 5
-0.00819886 7
-0.00895208 6
-0.0072317 6
-0.00665254 8
-0.00445637 8
-0.00312681 6
-0.00351531 6
-0.00204312 6
-0.00238241 4
-0.00129495 6
-0.00951953 5
-0.00812082 6
-0.00716639 7
-0.00628732 6
-0.00543502 4
-0.00497294 6
-0.00418024 5
-0.00331379 9
-0.00146807 6
-0.00103871 6
-9.10274e-05 7
-0.000539392 8
-0.00919134 5
-0.00782729 6
-0.00764936 7
-0.00666727 6
-0.00568122 6
-0.0042711 8
-0.00481467 9
-0.00324436 6
-0.003186 7
-0.00231394 6
-0.00138518 7
-0.000540547 6
-0.00951132 3
-0.00864298 5
-0.00745301 5
-0.00676946 7
-0.0062315 6
-0.0050618 7
-0.00437794 10
-0.00397119 6
-0.00255808 5
-0.00169888 8
-0.000818954 8
-0.00951917 5
-0.00951864 6
-0.00851978 7
-0.00776476 5
-0.00687165 7
-0.00590599 7
-0.00507235 8
-0.00424616 6
-0.00347348 7
-0.00202068 6
-0.00131757 9
-0.000384948 8
-0.00951618 5
-0.00855242 5
-0.00769393 7
-0.00616103 6
-0.00693239 8
-0.00544697 7
-0.00466198 6
-0.00371147 6
-0.00267627 8
-0.0017143 6
-0.00104052 8
-0.000770116 5
-0.000126401 6
-0.0095141 5
-0.0085581 7
