# Position c_coord[0]
-0.00650571 4
-0.00501652 3
-0.00417544 3
-0.00489738 2
-0.00343503 7
-0.00242128 1
-0.00141194 5
-0.00046008 5
-0.0094968 4
-0.00909127 3
-0.00776551 3
-0.00673688 2
-0.00559053 0
-0.00579933 1
-0.00480488 1
-0.0032106 5
-0.00132362 8
-0.0094968 3
-0.00860881 5
-0.00709392 6
-0.006162 6
-0.00520433 1
-0.00398669 3
-0.00296709 5
-0.002061 4
-0.002319 7
-0.00116284 3
-0.000474538 6
-0.000174491 8
-0.00949655 2
-0.00867788 5
-0.00775058 1
-0.00742261 4
-0.00557834 5
-0.00470947 2
-0.0042324 3
-0.00354075 4
-0.00270954 5
-0.00142736 5
-0.000438242 8
-0.0094968 2
-0.00819634 3
-0.00739019 4
-0.00732227 1
-0.00652238 0
-0.00566537 3
-0.00470864 4
-0.0037305 7
-0.00122375 5
-0.00903912 1
-0.00815905 2
-0.00716191 4
-0.0063735 3
-0.00557249 5
-0.00486418 2
-0.0034438 5
-0.00318745 4
-0.00237193 6
-0.000571033 6
-0.00949703 2
-0.00874751 3
-0.00752381 4
-0.00653525 3
-0.00571931 3
-0.00454456 0
-0.00380473 8
-0.00201185 7
-0.00288 5
-0.00133825 6
-0.000266097 2
-0.00949607 3
-0.00882626 2
-0.00857398 1
-0.00808179 3
-0.00741236 4
-0.00645505 7
-0.00540259 6
-0.00478773 4
-0.0037411 4
-0.00281118 7
-0.00110122 6
-0.00184353 5
-6.40857e-05 5
-0.000493612 1
-0.00949596 3
-0.00865247 4
-0.00787132 4
-0.00651644 0
-0.00513632 4
-0.00413777 7
-0.00280867 5
-0.00154802 4
-0.000486851 5
-0.0090964 5
-0.00799424 2
-0.00708501 1
-0.00664635 5
-0.00606073 3
-0.00534073 7
-0.00444955 4
-0.00347574 5
-0.00209546 6
-0.00251304 5
-0.00131716 6
-0.000412557 3
-0.0087879 6
-0.00783637 3
-0.00662607 4
-0.00582331 6
-0.00502044 3
-0.00399424 4
-0.00273788 5
-0.0018468 3
-0.000642823 5
-0.00894017 4
-0.00812611 6
-0.00743848 2
-0.00630128 5
-0.0054953 5
-0.00564187 5
-0.0043913 2
-0.00326645 3
-0.00368556 4
-0.00201108 5
-0.00949625 5
-0.00861917 5
-0.00776741 2
-0.00681601 4
-0.00543432 4
-0.00471242 5
-0.00421269 3
-0.00290705 3
-0.00216474 5
-0.00120516 5
-0.000707063 3
-0.000149579 4
-0.00949649 4
-0.00861934 3
-0.00781482 6
-0.00710296 1
-0.00611737 2
-0.00595044 5
-0.00499307 7
-0.00378294 4
-0.00282027 4
-0.00146522 7
-0.00122685 1
-0.000431984 4
-0.00876198 1
-0.00789456 0
-0.00693416 4
-0.00577861 1
-0.00482968 5
-0.00397348 5
-0.00293148 6
-0.00194701 1
-0.000289356 5
-0.000937761 4
-0.00949641 1
-0.00867576 6
-0.00732637 3
-0.00788142 5
-0.00580826 3
-0.0042493 4
-0.003336 3
-0.00256292 6
-0.00163985 3
-0.00056202 5
-0.00949664 3
-0.00849006 5
-0.00723437 6
-0.00638698 4
-0.00545928 5
-0.00475891 5
-0.00371256 4
-0.00231307 3
-0.000849481 5
-0.00949672 1
-0.00849556 7
-0.00793776 5
-0.00711305 3
-0.00632147 5
-0.00454054 4
-0.00484231 5
-0.00362152 3
-0.00296105 6
-0.00234545 5
-0.00150132 3
-0.000613644 5
-0.000398003 4
-0.00810358 4
-0.00673404 2
-0.00595799 5
-0.00501106 2
-0.00405866 3
-0.00322812 1
-0.00237118 4
-0.00141995 7
-0.00055215 6
-0.00949683 3
-0.00902584 4
-0.00742994 3
-0.00650339 0
-0.00574443 4
-0.00402673 3
-0.00479983 6
-0.00310578 5
-0.00216621 4
-0.00147881 5
-5.7306e-05 6
-0.0094968 2
-0.00867274 3
-0.00789179 3
