"T_0","voidfractionPrev","rho","voidfractionNext","ddtVoidfraction","KslNext","UsWeightField_","p","Ksl","Tsource","voidfraction","T","KslPrev","voidfraction_0","U_0:0","U_0:1","U_0:2","U:0","U:1","U:2","expParticleForces:0","expParticleForces:1","expParticleForces:2","UsNext:0","UsNext:1","UsNext:2","impParticleForces:0","impParticleForces:1","impParticleForces:2","UsPrev:0","UsPrev:1","UsPrev:2","Us:0","Us:1","Us:2","Points:0","Points:1","Points:2"
573,1,0.175,1,0,0,0,2666.6,0,0,1,573,0,1,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355,0.0025,0.001
578.45,1,0.175,1,0,0,0,2666.6,0,0,1,578.45,0,1,0.040799,-1.7512e-05,0.010258,0.040799,-1.7512e-05,0.010258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03425,0.0025,0.001
584.11,1,0.175,1,0,0,0,2666.6,0,0,1,584.11,0,1,0.034058,-2.998e-05,0.0062201,0.034058,-2.998e-05,0.0062201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033,0.0025,0.001
589.66,1,0.175,1,0,0,0,2666.6,0,0,1,589.66,0,1,0.028136,-7.7723e-05,0.0030045,0.028136,-7.7723e-05,0.0030045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03175,0.0025,0.001
594.97,1,0.175,1,0,0,0,2666.6,0,0,1,594.97,0,1,0.028083,-0.00013113,-0.00035169,0.028083,-0.00013113,-0.00035169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305,0.0025,0.001
599.44,1,0.175,1,0,0,0,2666.5,0,0,1,599.44,0,1,0.029074,-0.00041608,-0.0042381,0.029074,-0.00041608,-0.0042381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02925,0.0025,0.001
602.63,1,0.175,1,0,0,0,2666.6,0,0,1,602.63,0,1,0.040066,-0.0006628,-0.0098522,0.040066,-0.0006628,-0.0098522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,0.0025,0.001
602.87,1,0.175,1,0,0,0,2666.5,0,0,1,602.87,0,1,0.051615,-0.0022243,-0.017437,0.051615,-0.0022243,-0.017437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02675,0.0025,0.001
600.46,0.96034,0.175,0.96034,-4.8607e-12,1772.8,0.96621,2666.5,1772.8,150.66,0.96034,600.46,1772.8,0.96034,0.099736,-0.0018459,-0.013071,0.099736,-0.0018459,-0.013071,0,0,0,3.5862e-13,-1.52e-11,1.4645e-12,5.4156e-07,-1.0244e-08,-1.3029e-08,-5.2339e-12,-1.5103e-11,-4.5994e-12,3.5862e-13,-1.52e-11,1.4645e-12,-0.0255,0.0025,0.001
573,1,0.175,1,0,0,0,2666.6,0,0,1,573,0,1,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355,-0.0025,0.002
578.54,1,0.175,1,0,0,0,2666.6,0,0,1,578.54,0,1,0.050769,-1.3883e-05,0.013217,0.050769,-1.3883e-05,0.013217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03425,-0.0025,0.002
584.35,1,0.175,1,0,0,0,2666.6,0,0,1,584.35,0,1,0.048288,-2.586e-05,0.010197,0.048288,-2.586e-05,0.010197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033,-0.0025,0.002
590.12,1,0.175,1,0,0,0,2666.6,0,0,1,590.12,0,1,0.044463,-5.5323e-05,0.005318,0.044463,-5.5323e-05,0.005318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03175,-0.0025,0.002
595.82,1,0.175,1,0,0,0,2666.6,0,0,1,595.82,0,1,0.044579,-9.1701e-05,-0.0005293,0.044579,-9.1701e-05,-0.0005293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305,-0.0025,0.002
600.99,1,0.175,1,0,0,0,2666.5,0,0,1,600.99,0,1,0.044179,-0.00023965,-0.0079691,0.044179,-0.00023965,-0.0079691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02925,-0.0025,0.002
605.53,1,0.175,1,0,0,0,2666.6,0,0,1,605.53,0,1,0.050932,-0.00034991,-0.016871,0.050932,-0.00034991,-0.016871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-0.0025,0.002
608.67,1,0.175,1,0,0,0,2666.5,0,0,1,608.67,0,1,0.05241,-0.0010375,-0.03063,0.05241,-0.0010375,-0.03063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02675,-0.0025,0.002
